ZZ 2e 2jet Invariant masses (eV),Leptoquark electron Invariant masses (eV)
632.1699062,1818.303167
501.6124954,3624.444685
641.2018903,3069.932986
874.4655793,2014.962724
148.5739891,1804.904967
70.72959782,1642.128073
831.1592887,3345.771244
803.7164969,1393.387851
162.1717299,183.6275919
1536.586163,3349.084488
3865.812034,7795.784021
1215.346201,5173.373513
1381.721864,3792.638475
1123.129181,0.3177651619
463.3964808,1643.096996
626.1317057,3488.266612
124.3324235,7421.903784
797.5282057,3121.475598
3625.006797,6875.597682
1001.45185,4456.202116
714.6651135,5252.139296
893.1755217,161.5070869
2764.889342,1985.092398
555.4433438,1559.449467
106.0913515,3170.572112
125.9021212,1407.045633
1057.63714,8003.089032
426.3757201,3239.288899
290.3719789,2583.87299
127.7607726,801.8812141
411.5962174,3423.991248
822.2160117,6357.232751
1016.617682,2002.327411
2296.546258,3358.4928
19.32339483,13788.0983
242.5894611,2185.954417
215.546254,26743.11698
198.5988877,4864.807382
1057.613985,4519.095282
130.6008993,2041.327123
830.5558367,2069.768797
210.7148233,1389.12337
1082.680287,2873.107851
65.72972058,3231.967679
586.0457914,1319.622714
552.3759848,2012.81555
853.37414,278.3731553
806.1849465,2979.842159
949.0338621,2946.169177
10623.55756,1940.798497
1084.437187,3187.499534
286.7867653,32344.281
760.0970371,6238.091388
1324.774927,4228.052436
518.5364474,3256.858456
2877.260239,3349.254722
3038.391011,871.0253878
4002.620467,8203.63946
458.9235505,1526.303867
455.0972551,201.5264666
1534.373521,3909.189953
2048.790026,1254.771374
358.8463938,4773.717243
570.5260381,557.5495199
856.0628932,3014.183785
510.4738937,2344.256327
2233.439073,307.9850214
549.5501558,7846.651474
871.4617787,359.7435106
1540.746614,1236.485634
1459.821599,15391.44639
1968.378418,4502.202109
762.207049,9129.278303
267.6435725,764.5653104
111.0882915,6710.099123
35.85716948,1752.960024
325.1994141,2544.316116
1907.64003,1935.649086
526.1336139,2855.810945
766.3205969,8802.190544
387.0398048,2079.158296
585.8779639,235.039762
320.9069248,3321.80542
353.4668031,623.8136184
1563.077059,4002.470992
3462.860076,935.0829887
128.0131097,6483.791286
440.4024473,5605.200257
1110.722888,15683.07981
509.1001892,1489.573709
323.7787498,6700.941519
1857.248553,2073.585715
246.6487897,3248.543043
833.2218467,2177.47522
383.0780322,492.8790345
532.1731273,876.5078308
4399.781382,4385.688414
333.6125796,2257.961784
793.4231885,9685.880604
876.4564896,2566.600227
548.5284728,1621.121355
644.7057777,5934.393547
178.0269741,2210.194084
683.8353624,2783.600402
564.431409,1401.830518
1181.172283,1658.533418
512.5367828,1069.058565
337.1926377,2542.541722
2464.38616,135.8190534
399.6771107,3843.268996
2183.659848,4105.99658
699.3946392,17124.49652
460.3658702,5832.24265
281.4872151,4681.362288
311.8046411,26963.43465
721.7588077,4434.537907
243.7404458,1011.342898
725.369731,2271.243045
2946.891881,4278.154462
932.9563562,1258.928424
437.3863348,2169.719631
2108.724318,1067.607917
1690.705111,1672.536373
912.483459,2717.722462
650.8279264,2726.316482
292.205247,1213.267792
784.3057876,1155.536302
1941.230741,1876.583781
1421.827825,1094.916722
914.7260741,4742.853864
228.1417053,4507.155424
218.5218656,2795.727106
2799.537235,3911.356118
1210.141385,3018.66829
769.1047122,2686.637247
112.4235858,4599.425588
1265.085443,786.7043048
456.5948748,1419.289218
1640.425701,4092.244185
423.4920724,9917.739077
1531.980752,1346.074035
320.4270564,708.5278309
3878.530928,2691.140459
3648.686142,1380.135835
209.7399626,5567.576421
1051.703455,1835.175471
563.7957059,1831.519077
2984.562627,3210.606055
1117.698819,2023.973959
445.0194052,2357.347789
546.15803,878.6711192
583.9867721,4707.214249
1.076434161,1446.944692
783.319528,2665.973091
1316.227584,6204.946417
93.12240564,1056.324594
345.0798894,2025.848955
386.2308978,33947.62242
505.2125791,3033.507786
1900.857897,8684.38901
634.4903494,2668.545219
1028.060114,6277.59385
454.135604,4723.90812
446.3634701,2356.000116
705.4928615,5659.023354
527.3066091,1482.210275
2338.612357,8676.996453
1974.761329,6469.177504
2375.98799,2508.326065
963.9945744,360.4819977
3909.19409,3781.512319
593.5671244,10891.6888
1443.966119,1709.625344
1941.279042,3060.419422
3233.068939,2722.406836
356.9532252,15476.35076
644.1288057,4583.781055
4497.359519,1979.187066
558.1564182,2554.471396
1129.595786,2337.379718
750.8901967,1797.289239
738.567642,1438.53695
946.5196726,1926.2815
555.9378842,1446.461152
660.0888885,966.993314
829.219949,1429.974718
406.5370122,432.5219122
1188.512257,2740.344881
765.1129819,931.102808
503.3407802,645.3288072
971.5616133,7801.550634
1084.778709,2686.736893
580.5671855,3294.780073
1499.389575,1915.496729
43.25402974,3524.979242
684.1195453,1003.598269
1227.001506,1891.812638
1998.855764,2034.935828
3573.11871,1255.252656
242.0300335,6141.520622
42.2500438,2617.431024
640.1725422,2402.213466
413.1192346,6847.360873
643.6618047,11477.2494
532.7066294,5732.971075
835.9883763,1481.796165
182.6417463,1208.717172
237.1608924,4200.025689
94.99556951,27377.95402
1998.236695,5317.515262
2394.560433,1910.132209
266.9011489,1198.357115
366.2001874,2633.212242
354.1765479,22188.41516
1203.696282,2537.379497
1220.926319,2118.098443
333.7079971,4891.999258
1581.120498,3980.706632
419.1998357,20557.21611
544.6953338,2138.839963
896.6912169,2476.686178
179.4122363,4502.206288
370.3252537,5138.520451
1040.886651,3138.050093
250.3780564,1996.627538
1057.966717,956.6284091
6461.265794,826.1224658
7990.465341,3120.917287
747.9557871,2636.923143
850.3479944,2565.770216
706.4094531,28.49771786
694.4608221,2138.965097
266.8008457,2770.587992
309.9104399,2641.575565
633.2112891,2566.413523
900.2018901,1103.022606
2097.539542,1693.528471
264.7650473,1689.680026
1529.98563,1896.428058
150.6885445,2467.321498
459.3868155,2820.028441
3159.337283,2154.837343
1556.255985,2999.10932
1050.34814,723.0571088
508.044672,943.1686655
650.945661,1682.912981
470.6947895,2469.45253
1447.486426,344.1773195
3644.53679,10441.91272
556.5092479,994.0774476
550.5601693,2627.967297
115.0739395,2890.768474
354.6412094,5.147575245
3.583137251,4051.923522
2108.33227,2123.379465
76.14181122,15887.305
889.7538187,2868.370037
602.1470717,4827.803678
832.3161159,3920.808212
104.7554068,2264.925266
746.4901908,937.6658757
495.4109192,1237.175764
363.2034032,1821.037669
419.3214584,5736.414745
299.5497444,5612.020473
254.6918049,2406.297324
523.0147656,2349.68031
392.3726536,4020.40622
649.4026205,1208.323182
4775.041699,2631.566496
728.6110508,7577.338753
1170.286797,1234.097468
713.6482279,147.2268539
618.2450865,5855.664902
837.5249423,3955.232421
630.0298304,4025.42706
120.2445727,1861.002034
2304.960832,246.6301313
3319.671845,3048.233908
315.1587166,12914.45829
857.282646,1800.477896
2763.797688,3475.14386
2506.141722,3353.928608
123.7853785,2884.49257
154.5526242,1878.073017
277.0940041,6844.90753
642.7264725,2453.452694
542.001046,12.77618889
1618.772698,2345.782941
137.6283391,1860.308684
1253.268575,917.1647419
2744.525114,1854.697831
1253.793158,161.2370339
1075.65748,6525.277221
1226.223938,2447.242513
782.2893447,4179.900779
527.8939754,1820.83425
625.6431187,8269.885414
280.2940772,1202.316744
561.6972727,1821.632482
,11376.84172
,1361.362263
,2554.193638
,1574.701885
,1111.4744
,2957.77759
,2185.161321
,1743.475157
,5145.185127
,191.1842376
,5865.218597
,12386.98196
,1174.747977
,6869.671588
,262.583692
,1606.727096
,2330.687646
,3319.191049
,1593.360967
,5515.083206
,2634.091889
,5940.478778
