pT (GeV) Signal,pT (GeV) Background)
115.037,178.616
255.327,186.151
245.528,27.872
15.2505,6.68326
218.13,276.245
578.57,104.635
56.9245,39.6946
123.825,33.7664
979.748,36.0166
802.538,60.0276
78.7235,60.5312
121.22,11.315
517.301,127.644
803.105,19.3614
42.3636,45.5148
162.814,28.1128
601.048,0.489437
338.624,47.8501
43.8215,52.2563
57.9552,11.7919
0.241994,10.0323
3.49291,32.5571
604.266,218.438
657.326,20.3394
116.027,3.33255
98.941,201.558
516.26,25.1947
1079.75,6.65124
285.561,67.5533
320.178,411.877
2401.41,57.4104
1576.05,63.8828
25.1636,34.9796
55.1389,1091.45
1089.53,42.2106
2390.76,13.0622
39.5524,16.9773
236.653,126.306
1135.92,421.021
1189.7,57.2322
120.601,55.2156
125.169,756.16
118.212,378.08
1573.87,33.571
95.437,63.5039
26.1704,71.3484
0.11591,570.788
0.189562,76.0538
0.48134,47.718
306.244,4.11222
377.08,287.446
143.283,1005.03
13.6839,28.597
265.596,23.4581
481.869,0.157437
212.442,731.895
45.5571,62.3266
0.943227,34.1186
0.965731,13.6017
1345.42,124.11
805.558,124.11
86.1161,29.3835
107.899,57.57
1005.55,84.7258
248.089,254.177
101.585,37.6769
95.2472,37.1029
0.0809354,130.056
0.0384389,83.0376
1026.51,45.7026
1515.77,19.5053
157.261,69.793
44.9086,85.6997
278.995,57.5415
267.295,65.2349
161.85,481.283
199.704,385.026
315.707,47.6663
122.59,44.0125
196.464,561.694
101.119,432.072
646.766,52.5868
1778.61,60.4978
90.8754,20.808
315.211,260.887
1153.04,60.9378
230.856,30.7475
102.423,47.9547
135.595,72.596
573.612,127.915
159.932,14.7807
195.71,10.0384
121.574,8.47448
0.14704,366.48
1.52046,366.48
109.159,8.33371
1155.01,5.03389
39.1775,85.5209
49.8417,89.594
719.04,7.45863
1337.25,42.5387
220.289,0.650471
212.038,0.222343
5.04971,301.667
229.455,54.8485
27.0866,37.3521
86.9475,58.044
1586.48,155.741
355.388,124.593
59.8368,18.6399
77.9858,18.9523
322.054,5.64423
206.314,16.9327
156.712,56.65
224.064,39.7055
372.048,80.4519
774.687,355.272
30.523,13.1488
153.439,25.6582
0.0353425,54.509
0.0773414,18.1697
2819.48,42.5036
998.293,29.8439
139.263,92.0839
27.1858,50.5594
1098.05,44.4458
290.073,47.1502
38.6658,326.367
200.405,95.5521
3369.32,22.817
301.964,76.712
42.9511,131.219
63.2299,393.657
1458.3,24.7669
1558.33,93.2772
110.213,71.3456
121.218,67.6402
376.508,9.57094
267.738,50.0231
67.6395,148.357
72.4142,247.262
388.788,28.1677
615.514,33.4502
117.442,265.755
35.399,106.302
2.29173,24.8304
299.394,20.1814
629.29,112.441
212.227,111.866
69.093,48.3717
143.279,56.6858
637.539,0.0395806
152.439,0.00993923
37.5462,119.09
385.329,35.5466
1900.18,3.79319
187.451,17.0883
47.9871,77.6302
610.482,97.0378
3432.67,31.5529
54.4894,173.32
133.094,435.528
884.487,87.1057
723.492,10.0655
161.319,23.1657
171.492,502.763
64.0192,670.351
152.302,4.45739
47.4558,13.9713
81.0037,2.04174
531.534,3.24043
2180.28,0.365434
6.51212,0.187437
26.5723,208.509
140.427,39.2077
305.559,21.0092
74.5735,23.7997
214.679,414.939
1144.75,150.887
397.75,31.9942
6.06009,8.23316
121.037,229.153
0.290045,190.961
0.0768085,60.415
114.945,12.0793
344.836,320.446
136.657,854.523
19.7661,14.072
715.724,20.8934
704.543,16.6551
106.008,33.4989
16.2276,25.1241
1439.78,27.5429
2027.47,33.9645
242.414,16.359
40.4027,65.436
179.678,81.9277
1054.93,33.4218
127.714,363.277
76.0251,272.458
601.069,7.4181
4608.83,4.20859
97.9109,0.619605
81.5018,0.235843
948.069,53.6782
118.714,107.356
28.741,23.3291
183.247,43.9231
435.146,1.39458
115.29,0.905205
120.576,137.858
199.911,21.2413
436.322,29.9174
374.041,70.9323
129.996,297.83
181.479,297.83
2.44565,15.0762
2.62187,72.6741
609.239,306.101
94.327,43.7287
51.8277,30.9802
120.684,38.2678
580.09,685.285
318.85,289.08
34.3995,42.7595
152.188,31.1558
729.617,61.6382
647.767,123.276
56.4829,73.0388
154.466,41.7976
0.193307,0.0302451
0.348929,0.237149
847.44,384.428
84.2153,480.535
20.3897,54.3291
21.6091,31.8254
1864.84,0.150508
268.891,0.0682195
140.53,240.77
80.703,60.1925
885.325,28.5059
588.136,58.4164
179.049,318.05
210.252,159.025
658.685,41.9314
225.722,37.1196
172.625,36.2963
151.466,348.054
85.7391,45.0051
286.781,44.7233
79.9336,0.0022415
143.102,0.212264
996.376,10.5584
796.169,23.5771
33.219,22.3419
210.993,8.17688
3942.15,27.6942
1255.22,18.4103
139.266,98.215
37.3015,17.4897
281.55,7.76277
746.43,5.27289
88.6125,118.484
113.426,115.572
569.786,6.43973
537.113,712.35
211.639,17.9838
148.324,18.3463
266.663,51.6046
1381.23,0.889171
35.7898,0.341775
59.5614,0.128877
1747.62,145.547
648.106,29.1094
540.213,48.4621
286.739,104.001
326.913,3.62324
2412.6,0.335334
187.963,519.745
123.101,129.936
180.275,87.4113
226.518,11.2428
126.952,0.332009
85.9302,0.0529712
417.927,2.19343
813.725,229.445
78.0623,45.889
39.6763,113.978
0.00868355,21.4226
0.0152784,271.28
391.436,949.48
1349.76,133.187
40.9274,39.6331
211.304,0.154824
1140.06,0.299498
261.006,801.173
290.317,20.4296
176.416,35.8389
150.717,69.0306
52.8513,75.019
45.3835,150.038
39.1361,50.4452
488.167,31.3005
571.695,110.696
47.816,47.4414
228.821,38.6001
2448.08,55.0811
1237.56,85.3685
262.278,124.439
118.709,81.4788
10.0103,35.8533
475.911,206.072
236.766,548.003
245.01,31.6723
184.834,38.8674
412.864,17.8029
